design_description	size_selection	basecaller_model	library_strategy	total_reads	Gb	library_ID	basecaller_version	notes	filetype	ccs_algorithm	quartile_25	ntsm_score	DeepConsensus_version	path	filename	library_selection	shear_method	polymerase_version	500kb+	seq_kit	biosample_accession	max	total_Gbp	seq_plate_chemistry_version	library_layout	generator_facility	N50	200kb+	coverage	mean	N25	total_bp	400kb+	sample_ID	sample	read_N50	1Mb+	data_type	study	N75	min	quartile_50	platform	instrument_model	quartile_75	whales	100kb+	300kb+	library_source	basecaller	generator_contact	result	accession	Sample	Accession	familyID	Subpopulation	Superpopulation	Production Year
N/A	N/A	N/A	N/A	N/A	54.02	02_08_22_R941_HG03834_1	N/A	N/A	N/A	N/A	N/A	0.358252	N/A	s3://human-pangenomics/working/HPRC/HG03834/raw_data/nanopore/guppy_6/02_08_22_R941_HG03834_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	02_08_22_R941_HG03834_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	N/A	N/A	N/A	0.21	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3.25	16.37	N/A	N/A	N/A	0.47	HG03834	HG03834	113319.0	0.01	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	28.0	9.29	1.17	N/A	N/A	N/A	Similar	N/A	HG03834	SAMN33621958	BD28	BEB	SAS	YR3
N/A	N/A	N/A	N/A	N/A	55.11	02_08_22_R941_HG03834_2	N/A	N/A	N/A	N/A	N/A	0.366502	N/A	s3://human-pangenomics/working/HPRC/HG03834/raw_data/nanopore/guppy_6/02_08_22_R941_HG03834_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	02_08_22_R941_HG03834_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	N/A	N/A	N/A	0.23	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3.02	16.7	N/A	N/A	N/A	0.47	HG03834	HG03834	106614.0	0.01	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	39.0	8.93	1.09	N/A	N/A	N/A	Similar	N/A	HG03834	SAMN33621958	BD28	BEB	SAS	YR3
N/A	N/A	N/A	N/A	N/A	51.91	02_08_22_R941_HG03834_3	N/A	N/A	N/A	N/A	N/A	0.353039	N/A	s3://human-pangenomics/working/HPRC/HG03834/raw_data/nanopore/guppy_6/02_08_22_R941_HG03834_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	02_08_22_R941_HG03834_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	N/A	N/A	N/A	0.2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2.7	15.73	N/A	N/A	N/A	0.41	HG03834	HG03834	103009.0	0.01	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	32.0	8.11	0.97	N/A	N/A	N/A	Similar	N/A	HG03834	SAMN33621958	BD28	BEB	SAS	YR3
UL sequencing using ONT-Circulomics method	no SS	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	WGS	N/A	68.86	02_15_22_R941_HG00658_1	6.5.7	N/A	bam	N/A	N/A	0.301266	N/A	s3://human-pangenomics/working/HPRC/HG00658/raw_data/nanopore/guppy_6/02_15_22_R941_HG00658_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	02_15_22_R941_HG00658_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	RANDOM	no shear	N/A	0.05	SQK-ULK001	N/A	N/A	N/A	N/A	single	University of California, Santa Cruz	N/A	2.5	20.87	N/A	N/A	N/A	0.13	HG00658	HG00658	89274.0	0.0	unaligned reads with 5mC mods	N/A	N/A	N/A	N/A	OXFORD_NANOPORE	PromethION	N/A	2.0	9.29	0.53	GENOMIC	guppy	iviolich@ucsc.edu	Similar	N/A	HG00658	SAMN37797096	SH074	CHS	EAS	YR3
UL sequencing using ONT-Circulomics method	no SS	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	WGS	N/A	86.75	02_15_22_R941_HG00658_2	6.5.7	N/A	bam	N/A	N/A	0.302639	N/A	s3://human-pangenomics/working/HPRC/HG00658/raw_data/nanopore/guppy_6/02_15_22_R941_HG00658_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	02_15_22_R941_HG00658_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	RANDOM	no shear	N/A	0.07	SQK-ULK001	N/A	N/A	N/A	N/A	single	University of California, Santa Cruz	N/A	3.38	26.29	N/A	N/A	N/A	0.21	HG00658	HG00658	93714.0	0.0	unaligned reads with 5mC mods	N/A	N/A	N/A	N/A	OXFORD_NANOPORE	PromethION	N/A	2.0	12.28	0.77	GENOMIC	guppy	iviolich@ucsc.edu	Similar	N/A	HG00658	SAMN37797096	SH074	CHS	EAS	YR3
UL sequencing using ONT-Circulomics method	no SS	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	WGS	N/A	69.61	02_15_22_R941_HG00658_3	6.5.7	N/A	bam	N/A	N/A	0.342092	N/A	s3://human-pangenomics/working/HPRC/HG00658/raw_data/nanopore/guppy_6/02_15_22_R941_HG00658_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	02_15_22_R941_HG00658_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	RANDOM	no shear	N/A	0.06	SQK-ULK001	N/A	N/A	N/A	N/A	single	University of California, Santa Cruz	N/A	2.49	21.09	N/A	N/A	N/A	0.15	HG00658	HG00658	87952.0	0.0	unaligned reads with 5mC mods	N/A	N/A	N/A	N/A	OXFORD_NANOPORE	PromethION	N/A	12.0	9.23	0.55	GENOMIC	guppy	iviolich@ucsc.edu	Similar	N/A	HG00658	SAMN37797096	SH074	CHS	EAS	YR3
UL sequencing using ONT-Circulomics method	no SS	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	WGS	N/A	70.91	02_15_22_R941_HG02514_1	6.5.7	N/A	bam	N/A	N/A	0.334196	N/A	s3://human-pangenomics/working/HPRC/HG02514/raw_data/nanopore/guppy_6/02_15_22_R941_HG02514_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	02_15_22_R941_HG02514_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	RANDOM	no shear	N/A	0.05	SQK-ULK001	N/A	N/A	N/A	N/A	single	University of California, Santa Cruz	N/A	3.14	21.49	N/A	N/A	N/A	0.17	HG02514	HG02514	97579.0	0.0	unaligned reads with 5mC mods	N/A	N/A	N/A	N/A	OXFORD_NANOPORE	PromethION	N/A	3.0	10.49	0.76	GENOMIC	guppy	iviolich@ucsc.edu	Similar	N/A	HG02514	SAMN37797105	VN087	KHV	EAS	YR3
UL sequencing using ONT-Circulomics method	no SS	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	WGS	N/A	74.55	02_15_22_R941_HG02514_2	6.5.7	N/A	bam	N/A	N/A	0.312431	N/A	s3://human-pangenomics/working/HPRC/HG02514/raw_data/nanopore/guppy_6/02_15_22_R941_HG02514_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	02_15_22_R941_HG02514_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	RANDOM	no shear	N/A	0.05	SQK-ULK001	N/A	N/A	N/A	N/A	single	University of California, Santa Cruz	N/A	3.3	22.59	N/A	N/A	N/A	0.19	HG02514	HG02514	96127.0	0.0	unaligned reads with 5mC mods	N/A	N/A	N/A	N/A	OXFORD_NANOPORE	PromethION	N/A	4.0	10.86	0.8	GENOMIC	guppy	iviolich@ucsc.edu	Similar	N/A	HG02514	SAMN37797105	VN087	KHV	EAS	YR3
UL sequencing using ONT-Circulomics method	no SS	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	WGS	N/A	65.96	02_15_22_R941_HG02514_3	6.5.7	N/A	bam	N/A	N/A	0.293918	N/A	s3://human-pangenomics/working/HPRC/HG02514/raw_data/nanopore/guppy_6/02_15_22_R941_HG02514_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	02_15_22_R941_HG02514_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	RANDOM	no shear	N/A	0.03	SQK-ULK001	N/A	N/A	N/A	N/A	single	University of California, Santa Cruz	N/A	2.5	19.99	N/A	N/A	N/A	0.13	HG02514	HG02514	90028.0	0.0	unaligned reads with 5mC mods	N/A	N/A	N/A	N/A	OXFORD_NANOPORE	PromethION	N/A	3.0	8.95	0.57	GENOMIC	guppy	iviolich@ucsc.edu	Similar	N/A	HG02514	SAMN37797105	VN087	KHV	EAS	YR3
N/A	N/A	N/A	N/A	N/A	66.91	02_15_22_R941_HG03041_1	N/A	N/A	N/A	N/A	N/A	0.338052	N/A	s3://human-pangenomics/working/HPRC/HG03041/raw_data/nanopore/guppy_6/02_15_22_R941_HG03041_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	02_15_22_R941_HG03041_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	N/A	N/A	N/A	0.08	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2.76	20.27	N/A	N/A	N/A	0.22	HG03041	HG03041	94132.0	0.0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	7.0	9.5	0.72	N/A	N/A	N/A	Similar	N/A	HG03041	SAMN33758790	GB110	GWD	AFR	YR3
N/A	N/A	N/A	N/A	N/A	72.05	02_15_22_R941_HG03041_2	N/A	N/A	N/A	N/A	N/A	0.339754	N/A	s3://human-pangenomics/working/HPRC/HG03041/raw_data/nanopore/guppy_6/02_15_22_R941_HG03041_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	02_15_22_R941_HG03041_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	N/A	N/A	N/A	0.09	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2.69	21.83	N/A	N/A	N/A	0.23	HG03041	HG03041	87337.0	0.0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	10.0	9.49	0.72	N/A	N/A	N/A	Similar	N/A	HG03041	SAMN33758790	GB110	GWD	AFR	YR3
N/A	N/A	N/A	N/A	N/A	57.11	02_15_22_R941_HG03041_3	N/A	N/A	N/A	N/A	N/A	0.315332	N/A	s3://human-pangenomics/working/HPRC/HG03041/raw_data/nanopore/guppy_6/02_15_22_R941_HG03041_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	02_15_22_R941_HG03041_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	N/A	N/A	N/A	0.08	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2.44	17.31	N/A	N/A	N/A	0.2	HG03041	HG03041	95935.0	0.01	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	15.0	8.29	0.65	N/A	N/A	N/A	Similar	N/A	HG03041	SAMN33758790	GB110	GWD	AFR	YR3
N/A	N/A	N/A	N/A	N/A	76.7	02_15_22_R941_HG03050_1	N/A	N/A	N/A	N/A	N/A	0.325861	N/A	s3://human-pangenomics/working/HPRC/HG03050/raw_data/nanopore/guppy_6/02_15_22_R941_HG03050_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	02_15_22_R941_HG03050_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	N/A	N/A	N/A	0.05	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2.91	23.24	N/A	N/A	N/A	0.16	HG03050	HG03050	96204.0	0.0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	4.0	11.14	0.63	N/A	N/A	N/A	Similar	N/A	HG03050	SAMN37797108	GB113	GWD	AFR	YR3
N/A	N/A	N/A	N/A	N/A	51.87	02_15_22_R941_HG03050_2	N/A	N/A	N/A	N/A	N/A	0.341999	N/A	s3://human-pangenomics/working/HPRC/HG03050/raw_data/nanopore/guppy_6/02_15_22_R941_HG03050_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	02_15_22_R941_HG03050_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	N/A	N/A	N/A	0.03	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1.72	15.72	N/A	N/A	N/A	0.1	HG03050	HG03050	88591.0	0.0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3.0	6.89	0.37	N/A	N/A	N/A	Similar	N/A	HG03050	SAMN37797108	GB113	GWD	AFR	YR3
N/A	N/A	N/A	N/A	N/A	71.23	02_15_22_R941_HG03050_3	N/A	N/A	N/A	N/A	N/A	0.346017	N/A	s3://human-pangenomics/working/HPRC/HG03050/raw_data/nanopore/guppy_6/02_15_22_R941_HG03050_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	02_15_22_R941_HG03050_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	N/A	N/A	N/A	0.05	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2.51	21.59	N/A	N/A	N/A	0.14	HG03050	HG03050	92017.0	0.0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	8.0	9.85	0.54	N/A	N/A	N/A	Similar	N/A	HG03050	SAMN37797108	GB113	GWD	AFR	YR3
N/A	N/A	N/A	N/A	N/A	74.38	02_15_22_R941_HG03239_1	N/A	N/A	N/A	N/A	N/A	0.34711	N/A	s3://human-pangenomics/working/HPRC/HG03239/raw_data/nanopore/guppy_6/02_15_22_R941_HG03239_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	02_15_22_R941_HG03239_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	N/A	N/A	N/A	0.04	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1.99	22.54	N/A	N/A	N/A	0.1	HG03239	HG03239	84730.0	0.0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3.0	9.29	0.37	N/A	N/A	N/A	Similar	N/A	HG03239	SAMN33758794	PK41	PJL	SAS	YR3
N/A	N/A	N/A	N/A	N/A	78.16	02_15_22_R941_HG03239_2	N/A	N/A	N/A	N/A	N/A	0.328338	N/A	s3://human-pangenomics/working/HPRC/HG03239/raw_data/nanopore/guppy_6/02_15_22_R941_HG03239_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	02_15_22_R941_HG03239_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	N/A	N/A	N/A	0.05	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1.98	23.69	N/A	N/A	N/A	0.11	HG03239	HG03239	80855.0	0.0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	6.0	9.26	0.39	N/A	N/A	N/A	Similar	N/A	HG03239	SAMN33758794	PK41	PJL	SAS	YR3
N/A	N/A	N/A	N/A	N/A	58.69	02_15_22_R941_HG03239_3	N/A	N/A	N/A	N/A	N/A	0.36187	N/A	s3://human-pangenomics/working/HPRC/HG03239/raw_data/nanopore/guppy_6/02_15_22_R941_HG03239_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	02_15_22_R941_HG03239_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	N/A	N/A	N/A	0.03	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1.42	17.79	N/A	N/A	N/A	0.08	HG03239	HG03239	80856.0	0.0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	7.0	6.93	0.27	N/A	N/A	N/A	Similar	N/A	HG03239	SAMN33758794	PK41	PJL	SAS	YR3
UL sequencing using ONT-Circulomics method	no SS	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	WGS	N/A	85.01	02_17_22_R941_HG01074_1	6.5.7	N/A	bam	N/A	N/A	0.378887	N/A	s3://human-pangenomics/working/HPRC/HG01074/raw_data/nanopore/guppy_6/02_17_22_R941_HG01074_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	02_17_22_R941_HG01074_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	RANDOM	no shear	N/A	0.06	SQK-ULK001	N/A	N/A	N/A	N/A	single	University of California, Santa Cruz	N/A	3.19	25.76	N/A	N/A	N/A	0.18	HG01074	HG01074	93003.0	0.0	unaligned reads with 5mC mods	N/A	N/A	N/A	N/A	OXFORD_NANOPORE	PromethION	N/A	4.0	11.93	0.68	GENOMIC	guppy	iviolich@ucsc.edu	Similar	N/A	HG01074	SAMN33758782	PR18	PUR	AMR	YR3
