100kb+,1Mb+,200kb+,300kb+,400kb+,500kb+,DeepConsensus_version,MM_remove,MM_review,MM_tag,N25,N50,N75,accession,barcode,basecaller,basecaller_model,basecaller_version,basecalling_version,bioproject_accession,biosample_accession,ccs_algorithm,cell_type,check-flnc reads,coverage,data_type,deepconsensus_coverage,deepconsensus_filename,deepconsensus_path,design_description,filename,filetype,generator_contact,generator_facility,instrument_model,iso_filename,iso_library_id,jasmine_version,library_ID,library_layout,library_selection,library_source,library_strategy,lima_float_version,lima_version,max,mean,min,notes,ntsm_score,path,pbtrim_version,platform,platform_unit_1,platform_unit_2,polymerase_version,pool,primrose_filename,production,quartile_25,quartile_50,quartile_75,read_N50,refine_version,sample_ID,seq_kit,seq_plate_chemistry_version,sequencing_chemistry,shear_method,similarity,size_selection,study,title,total_Gbp,total_bp,total_reads,whales,ChildID,N,Sex,Subpopulation,Superpopulation,Production Year,file_size
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30613927,N/A,N/A,N/A,N/A,N/A,PRJNA701308,SAMN26237491,N/A,N/A,N/A,8.21,unaligned reads,N/A,N/A,N/A,Illumina Sequencing of Omni-C Libraries,HG00544-24ab-1_S1_L003_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,N/A,N/A,HG00544-24ab-1-1_S1_L003_R1_001-1_S1_L003_R2_001,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,0.521718,s3://human-pangenomics/working/HPRC/HG00544/raw_data/hic/HG00544-24ab-1_S1_L003_R1_001.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,HiC,N/A,N/A,N/A,N/A,N/A,HG00544,N/A,N/A,N/A,no shear,N/A,N/A,SRP305758,N/A,25.44,25442045007.0,N/A,N/A,HG00544,SH042,female,CHS,EAS,YR2,13069458300
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30613916,N/A,N/A,N/A,N/A,N/A,PRJNA701308,SAMN26237491,N/A,N/A,N/A,7.95,unaligned reads,N/A,N/A,N/A,Illumina Sequencing of Omni-C Libraries,HG00544-24ab-1_S1_L004_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,N/A,N/A,HG00544-24ab-1-1_S1_L004_R1_001-1_S1_L004_R2_001,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,0.482918,s3://human-pangenomics/working/HPRC/HG00544/raw_data/hic/HG00544-24ab-1_S1_L004_R1_001.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,HiC,N/A,N/A,N/A,N/A,N/A,HG00544,N/A,N/A,N/A,no shear,N/A,N/A,SRP305758,N/A,24.63,24631525119.0,N/A,N/A,HG00544,SH042,female,CHS,EAS,YR2,12792809335
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30613905,N/A,N/A,N/A,N/A,N/A,PRJNA701308,SAMN26237491,N/A,N/A,N/A,8.5,unaligned reads,N/A,N/A,N/A,Illumina Sequencing of Omni-C Libraries,HG00544-24ab-2_S2_L001_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,N/A,N/A,HG00544-24ab-2-2_S2_L001_R1_001-2_S2_L001_R2_001,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,0.533568,s3://human-pangenomics/working/HPRC/HG00544/raw_data/hic/HG00544-24ab-2_S2_L001_R1_001.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,HiC,N/A,N/A,N/A,N/A,N/A,HG00544,N/A,N/A,N/A,no shear,N/A,N/A,SRP305758,N/A,26.34,26340905434.0,N/A,N/A,HG00544,SH042,female,CHS,EAS,YR2,13504124075
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30613798,N/A,N/A,N/A,N/A,N/A,PRJNA701308,SAMN26237491,N/A,N/A,N/A,8.46,unaligned reads,N/A,N/A,N/A,Illumina Sequencing of Omni-C Libraries,HG00544-24ab-2_S2_L002_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,N/A,N/A,HG00544-24ab-2-2_S2_L002_R1_001-2_S2_L002_R2_001,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,0.521346,s3://human-pangenomics/working/HPRC/HG00544/raw_data/hic/HG00544-24ab-2_S2_L002_R1_001.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,HiC,N/A,N/A,N/A,N/A,N/A,HG00544,N/A,N/A,N/A,no shear,N/A,N/A,SRP305758,N/A,26.22,26223483770.0,N/A,N/A,HG00544,SH042,female,CHS,EAS,YR2,13439829243
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30613787,N/A,N/A,N/A,N/A,N/A,PRJNA701308,SAMN26237491,N/A,N/A,N/A,8.5,unaligned reads,N/A,N/A,N/A,Illumina Sequencing of Omni-C Libraries,HG00544-24ab-2_S2_L003_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,N/A,N/A,HG00544-24ab-2-2_S2_L003_R1_001-2_S2_L003_R2_001,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,0.505937,s3://human-pangenomics/working/HPRC/HG00544/raw_data/hic/HG00544-24ab-2_S2_L003_R1_001.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,HiC,N/A,N/A,N/A,N/A,N/A,HG00544,N/A,N/A,N/A,no shear,N/A,N/A,SRP305758,N/A,26.34,26343216176.0,N/A,N/A,HG00544,SH042,female,CHS,EAS,YR2,13553683916
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30613715,N/A,N/A,N/A,N/A,N/A,PRJNA701308,SAMN26237491,N/A,N/A,N/A,8.19,unaligned reads,N/A,N/A,N/A,Illumina Sequencing of Omni-C Libraries,HG00544-24ab-2_S2_L004_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,N/A,N/A,HG00544-24ab-2-2_S2_L004_R1_001-2_S2_L004_R2_001,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,0.500233,s3://human-pangenomics/working/HPRC/HG00544/raw_data/hic/HG00544-24ab-2_S2_L004_R1_001.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,HiC,N/A,N/A,N/A,N/A,N/A,HG00544,N/A,N/A,N/A,no shear,N/A,N/A,SRP305758,N/A,25.38,25383174741.0,N/A,N/A,HG00544,SH042,female,CHS,EAS,YR2,13194393900
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30613699,N/A,N/A,N/A,N/A,N/A,PRJNA701308,SAMN26237492,N/A,N/A,N/A,5.01,unaligned reads,N/A,N/A,N/A,Illumina Sequencing of Omni-C Libraries,HG00609-38a-1_S9_L001_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,N/A,N/A,HG00609-38a-1-1_S9_L001_R1_001-1_S9_L001_R2_001,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,0.52783,s3://human-pangenomics/working/HPRC/HG00609/raw_data/hic/HG00609-38a-1_S9_L001_R1_001.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,HiC,N/A,N/A,N/A,N/A,N/A,HG00609,N/A,N/A,N/A,no shear,N/A,N/A,SRP305758,N/A,15.54,15539181423.0,N/A,N/A,HG00609,SH062,male,CHS,EAS,YR2,8163786203
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30613637,N/A,N/A,N/A,N/A,N/A,PRJNA701308,SAMN26237492,N/A,N/A,N/A,3.75,unaligned reads,N/A,N/A,N/A,Illumina Sequencing of Omni-C Libraries,HG00609-38a-1_S9_L002_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,N/A,N/A,HG00609-38a-1-1_S9_L002_R1_001-1_S9_L002_R2_001,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,0.577875,s3://human-pangenomics/working/HPRC/HG00609/raw_data/hic/HG00609-38a-1_S9_L002_R1_001.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,HiC,N/A,N/A,N/A,N/A,N/A,HG00609,N/A,N/A,N/A,no shear,N/A,N/A,SRP305758,N/A,11.62,11618228831.0,N/A,N/A,HG00609,SH062,male,CHS,EAS,YR2,6123159944
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30613648,N/A,N/A,N/A,N/A,N/A,PRJNA701308,SAMN26237492,N/A,N/A,N/A,3.94,unaligned reads,N/A,N/A,N/A,Illumina Sequencing of Omni-C Libraries,HG00609-38a-1_S9_L003_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,N/A,N/A,HG00609-38a-1-1_S9_L003_R1_001-1_S9_L003_R2_001,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,0.550621,s3://human-pangenomics/working/HPRC/HG00609/raw_data/hic/HG00609-38a-1_S9_L003_R1_001.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,HiC,N/A,N/A,N/A,N/A,N/A,HG00609,N/A,N/A,N/A,no shear,N/A,N/A,SRP305758,N/A,12.22,12222236915.0,N/A,N/A,HG00609,SH062,male,CHS,EAS,YR2,6533614079
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30613901,N/A,N/A,N/A,N/A,N/A,PRJNA701308,SAMN26237492,N/A,N/A,N/A,4.86,unaligned reads,N/A,N/A,N/A,Illumina Sequencing of Omni-C Libraries,HG00609-38a-1_S9_L004_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,N/A,N/A,HG00609-38a-1-1_S9_L004_R1_001-1_S9_L004_R2_001,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,0.539782,s3://human-pangenomics/working/HPRC/HG00609/raw_data/hic/HG00609-38a-1_S9_L004_R1_001.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,HiC,N/A,N/A,N/A,N/A,N/A,HG00609,N/A,N/A,N/A,no shear,N/A,N/A,SRP305758,N/A,15.07,15069587773.0,N/A,N/A,HG00609,SH062,male,CHS,EAS,YR2,7952922838
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30613887,N/A,N/A,N/A,N/A,N/A,PRJNA701308,SAMN26237492,N/A,N/A,N/A,4.18,unaligned reads,N/A,N/A,N/A,Illumina Sequencing of Omni-C Libraries,HG00609-38a-2_S10_L001_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,N/A,N/A,HG00609-38a-2-2_S10_L001_R1_001-2_S10_L001_R2_001,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,0.575816,s3://human-pangenomics/working/HPRC/HG00609/raw_data/hic/HG00609-38a-2_S10_L001_R1_001.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,HiC,N/A,N/A,N/A,N/A,N/A,HG00609,N/A,N/A,N/A,no shear,N/A,N/A,SRP305758,N/A,12.95,12949249772.0,N/A,N/A,HG00609,SH062,male,CHS,EAS,YR2,6889461763
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30613621,N/A,N/A,N/A,N/A,N/A,PRJNA701308,SAMN26237492,N/A,N/A,N/A,2.75,unaligned reads,N/A,N/A,N/A,Illumina Sequencing of Omni-C Libraries,HG00609-38a-2_S10_L002_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,N/A,N/A,HG00609-38a-2-2_S10_L002_R1_001-2_S10_L002_R2_001,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,0.611128,s3://human-pangenomics/working/HPRC/HG00609/raw_data/hic/HG00609-38a-2_S10_L002_R1_001.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,HiC,N/A,N/A,N/A,N/A,N/A,HG00609,N/A,N/A,N/A,no shear,N/A,N/A,SRP305758,N/A,8.51,8513185331.0,N/A,N/A,HG00609,SH062,male,CHS,EAS,YR2,4579804456
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30613769,N/A,N/A,N/A,N/A,N/A,PRJNA701308,SAMN26237492,N/A,N/A,N/A,3.11,unaligned reads,N/A,N/A,N/A,Illumina Sequencing of Omni-C Libraries,HG00609-38a-2_S10_L003_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,N/A,N/A,HG00609-38a-2-2_S10_L003_R1_001-2_S10_L003_R2_001,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,0.621931,s3://human-pangenomics/working/HPRC/HG00609/raw_data/hic/HG00609-38a-2_S10_L003_R1_001.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,HiC,N/A,N/A,N/A,N/A,N/A,HG00609,N/A,N/A,N/A,no shear,N/A,N/A,SRP305758,N/A,9.63,9629510218.0,N/A,N/A,HG00609,SH062,male,CHS,EAS,YR2,5210898590
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30613624,N/A,N/A,N/A,N/A,N/A,PRJNA701308,SAMN26237492,N/A,N/A,N/A,4.03,unaligned reads,N/A,N/A,N/A,Illumina Sequencing of Omni-C Libraries,HG00609-38a-2_S10_L004_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,N/A,N/A,HG00609-38a-2-2_S10_L004_R1_001-2_S10_L004_R2_001,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,0.577953,s3://human-pangenomics/working/HPRC/HG00609/raw_data/hic/HG00609-38a-2_S10_L004_R1_001.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,HiC,N/A,N/A,N/A,N/A,N/A,HG00609,N/A,N/A,N/A,no shear,N/A,N/A,SRP305758,N/A,12.49,12493735034.0,N/A,N/A,HG00609,SH062,male,CHS,EAS,YR2,6676393584
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30613615,N/A,N/A,N/A,N/A,N/A,PRJNA701308,SAMN26267378,N/A,N/A,N/A,6.82,unaligned reads,N/A,N/A,N/A,Illumina Sequencing of Omni-C Libraries,HG00642-33b-1_S9_L001_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,N/A,N/A,HG00642-33b-1-1_S9_L001_R1_001-1_S9_L001_R2_001,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,0.484121,s3://human-pangenomics/working/HPRC/HG00642/raw_data/hic/HG00642-33b-1_S9_L001_R1_001.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,HiC,N/A,N/A,N/A,N/A,N/A,HG00642,N/A,N/A,N/A,no shear,N/A,N/A,SRP305758,N/A,21.13,21128977021.0,N/A,N/A,HG00642,PR04,male,PUR,AMR,YR2,12291132681
