sample_id,haplotype,assembly,fasta_sha256,release,phasing,assembly_method,assembly_method_version,assembly_date,assembly_name,source,genbank_accession,assembly_md5,assembly_fai,assembly_gzi,biosample_id,population_descriptor,population_abbreviation,trio_available,family_id,paternal_id,maternal_id,sex,tissue,collection,alternative_id,notes,file_size
HG00733,2,s3://human-pangenomics/working/HPRC_PLUS/HG00733/assemblies/year1_f1_assembly_v2_genbank/HG00733.maternal.f1_assembly_v2_genbank.fa.gz,c2963af8e63111ade4810bccfa059166db948f491551c2272e80f82a28c356ad,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SAMN00006581,Puerto Rican in Puerto Rico,PUR,True,,HG00731,HG00732,female,B-Lymphocyte,1000G,,,875252438
HG00733,1,s3://human-pangenomics/working/HPRC_PLUS/HG00733/assemblies/year1_f1_assembly_v2_genbank/HG00733.paternal.f1_assembly_v2_genbank.fa.gz,47f20b76eab03a22a1351e0e9efbd0ba43814911f9f17c37dba5cdc0583a8ae0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SAMN00006581,Puerto Rican in Puerto Rico,PUR,True,,HG00731,HG00732,female,B-Lymphocyte,1000G,,,877545491
HG00735,2,s3://human-pangenomics/working/HPRC/HG00735/assemblies/year1_f1_assembly_v2_genbank/HG00735.maternal.f1_assembly_v2_genbank.fa.gz,fdde1ce9c6f27c8d963eef5228ca657c65e89f95ece8947d06fca358ade18a39,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SAMN17861655,Puerto Rican in Puerto Rico,PUR,True,PR06,HG01047,HG00734,female,B-Lymphocyte,1000G,,,875462497
HG00735,1,s3://human-pangenomics/working/HPRC/HG00735/assemblies/year1_f1_assembly_v2_genbank/HG00735.paternal.f1_assembly_v2_genbank.fa.gz,117cd1556d9b9ea796e29b30db2cb4c6e77e90c9f9b1c074720cc4671403fb79,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SAMN17861655,Puerto Rican in Puerto Rico,PUR,True,PR06,HG01047,HG00734,female,B-Lymphocyte,1000G,,,875257468
HG00741,2,s3://human-pangenomics/working/HPRC/HG00741/assemblies/year1_f1_assembly_v2_genbank/HG00741.maternal.f1_assembly_v2_genbank.fa.gz,a756fc30621e5e887ce5bee0e3a76d4ab9093c846f90ac3c7e463f25e005fc46,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SAMN17861656,Puerto Rican in Puerto Rico,PUR,True,PR09,HG00739,HG00740,female,B-Lymphocyte,1000G,,,875907872
HG00741,1,s3://human-pangenomics/working/HPRC/HG00741/assemblies/year1_f1_assembly_v2_genbank/HG00741.paternal.f1_assembly_v2_genbank.fa.gz,e6121ba9df50914fb0459afd50a9527f7260f1fae8f9ec460cc7c4e61b5138b0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SAMN17861656,Puerto Rican in Puerto Rico,PUR,True,PR09,HG00739,HG00740,female,B-Lymphocyte,1000G,,,874350189
HG01071,2,s3://human-pangenomics/working/HPRC/HG01071/assemblies/year1_f1_assembly_v2_genbank/HG01071.maternal.f1_assembly_v2_genbank.fa.gz,5e67e97c0275d46ad4b75b14365d1fd5000ed44cfc759710f61d146e7b7ce291,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SAMN17861657,Puerto Rican in Puerto Rico,PUR,True,PR17,HG01069,HG01070,female,B-Lymphocyte,1000G,,,872452000
HG01071,1,s3://human-pangenomics/working/HPRC/HG01071/assemblies/year1_f1_assembly_v2_genbank/HG01071.paternal.f1_assembly_v2_genbank.fa.gz,d5f5829d658e123a265459d7afa804537150febea6432dd28e47be58bdcd1cc9,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SAMN17861657,Puerto Rican in Puerto Rico,PUR,True,PR17,HG01069,HG01070,female,B-Lymphocyte,1000G,,,877889659
HG01106,2,s3://human-pangenomics/working/HPRC/HG01106/assemblies/year1_f1_assembly_v2_genbank/HG01106.maternal.f1_assembly_v2_genbank.fa.gz,13416e10902dd12476dedeb637c4b5a23c8b4d6e5f67044e720bd97a09133ba1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SAMN17861658,Puerto Rican in Puerto Rico,PUR,True,PR25,HG01104,HG01105,male,B-Lymphocyte,1000G,,,875660506
HG01106,1,s3://human-pangenomics/working/HPRC/HG01106/assemblies/year1_f1_assembly_v2_genbank/HG01106.paternal.f1_assembly_v2_genbank.fa.gz,7c46227b41d8385d07e9d024515b9cc1f09df7fc1e1fae645d104879177451c6,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SAMN17861658,Puerto Rican in Puerto Rico,PUR,True,PR25,HG01104,HG01105,male,B-Lymphocyte,1000G,,,839177547
HG01109,2,s3://human-pangenomics/working/HPRC_PLUS/HG01109/assemblies/year1_f1_assembly_v2_genbank/HG01109.maternal.f1_assembly_v2_genbank.fa.gz,0aa368ac4d5dbe028f6fda70685193ea5ac80b7c890ff4b4d4f103eb68d5deaf,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SAMN12162846,Puerto Rican in Puerto Rico,PUR,True,,HG01107,HG01108,male,B-Lymphocyte,1000G,,,875540949
HG01109,1,s3://human-pangenomics/working/HPRC_PLUS/HG01109/assemblies/year1_f1_assembly_v2_genbank/HG01109.paternal.f1_assembly_v2_genbank.fa.gz,86486001fe72e08e3006a984037b6b231bc38288f58dd9561dad3d41c7c96684,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SAMN12162846,Puerto Rican in Puerto Rico,PUR,True,,HG01107,HG01108,male,B-Lymphocyte,1000G,,,839729986
HG01123,2,s3://human-pangenomics/working/HPRC/HG01123/assemblies/year1_f1_assembly_v2_genbank/HG01123.maternal.f1_assembly_v2_genbank.fa.gz,7b2144e0c1a08d5fbe179f8668fada2242bead7cfd12d0b66a1e45996cc15af8,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SAMN17861232,"Colombian in Medellin, Colombia",CLM,True,CLM02,HG01121,HG01122,female,B-Lymphocyte,1000G,,,872098033
HG01123,1,s3://human-pangenomics/working/HPRC/HG01123/assemblies/year1_f1_assembly_v2_genbank/HG01123.paternal.f1_assembly_v2_genbank.fa.gz,f514554f1998854e91c528da29b18fc730932805853ede31837631e87b409a89,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SAMN17861232,"Colombian in Medellin, Colombia",CLM,True,CLM02,HG01121,HG01122,female,B-Lymphocyte,1000G,,,872249724
HG01175,2,s3://human-pangenomics/working/HPRC/HG01175/assemblies/year1_f1_assembly_v2_genbank/HG01175.maternal.f1_assembly_v2_genbank.fa.gz,4023f8a4eac5fd0705d54278b674a7b3ddadbaec391e8fedd403aeb691f8a703,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SAMN17861659,Puerto Rican in Puerto Rico,PUR,True,PR36,HG01173,HG01174,female,B-Lymphocyte,1000G,,,873331720
HG01175,1,s3://human-pangenomics/working/HPRC/HG01175/assemblies/year1_f1_assembly_v2_genbank/HG01175.paternal.f1_assembly_v2_genbank.fa.gz,0e7aab966b1c54f094d3d6a91db741ac230840fe87a987322f372f0dcb7f2977,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SAMN17861659,Puerto Rican in Puerto Rico,PUR,True,PR36,HG01173,HG01174,female,B-Lymphocyte,1000G,,,873980224
HG01243,2,s3://human-pangenomics/working/HPRC_PLUS/HG01243/assemblies/year1_f1_assembly_v2_genbank/HG01243.maternal.f1_assembly_v2_genbank.fa.gz,8052aba721d0d48d65ecaae0abdd1fa4584a85cdde414eb3b4f040afec95c3e4,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SAMN13957917,Puerto Rican in Puerto Rico,PUR,True,,HG01241,HG01242,male,B-Lymphocyte,1000G,,,873794236
HG01243,1,s3://human-pangenomics/working/HPRC_PLUS/HG01243/assemblies/year1_f1_assembly_v2_genbank/HG01243.paternal.f1_assembly_v2_genbank.fa.gz,027f37f22639891d94363b810eb3e07614b9a40672c0096370171108110dcadc,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SAMN13957917,Puerto Rican in Puerto Rico,PUR,True,,HG01241,HG01242,male,B-Lymphocyte,1000G,,,836831491
HG01258,2,s3://human-pangenomics/working/HPRC/HG01258/assemblies/year1_f1_assembly_v2_genbank/HG01258.maternal.f1_assembly_v2_genbank.fa.gz,97e8ece8b4a108be376025747d377f003270dadebcc84e4116d322a72618769a,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SAMN17861233,"Colombian in Medellin, Colombia",CLM,True,CLM16,HG01256,HG01257,male,B-Lymphocyte,1000G,,,875284150
HG01258,1,s3://human-pangenomics/working/HPRC/HG01258/assemblies/year1_f1_assembly_v2_genbank/HG01258.paternal.f1_assembly_v2_genbank.fa.gz,e7697b1b7c2a4188f76d827611caa3a1b55b499d7c8bfab69c091a07a30e0c2c,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SAMN17861233,"Colombian in Medellin, Colombia",CLM,True,CLM16,HG01256,HG01257,male,B-Lymphocyte,1000G,,,837715371
HG01358,2,s3://human-pangenomics/working/HPRC/HG01358/assemblies/year1_f1_assembly_v2_genbank/HG01358.maternal.f1_assembly_v2_genbank.fa.gz,3ab91edde9c57f2d0a9238b161122cdaeb48bb87030abe7d33ac9803a7203ac1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SAMN17861234,"Colombian in Medellin, Colombia",CLM,True,CLM31,HG01356,HG01357,male,B-Lymphocyte,1000G,,,874131501
HG01358,1,s3://human-pangenomics/working/HPRC/HG01358/assemblies/year1_f1_assembly_v2_genbank/HG01358.paternal.f1_assembly_v2_genbank.fa.gz,b4ebe059741876e76ea43633a499e6dafb06d8876cb5f496ddd60f83e905e3d0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SAMN17861234,"Colombian in Medellin, Colombia",CLM,True,CLM31,HG01356,HG01357,male,B-Lymphocyte,1000G,,,840486619
HG01361,2,s3://human-pangenomics/working/HPRC/HG01361/assemblies/year1_f1_assembly_v2_genbank/HG01361.maternal.f1_assembly_v2_genbank.fa.gz,1c5a60c6bdb77177c701448da5040a1dfc47b9c57dbf53b12a081789033ce47f,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SAMN17861235,"Colombian in Medellin, Colombia",CLM,True,CLM32,HG01359,HG01360,female,B-Lymphocyte,1000G,,,872962083
HG01361,1,s3://human-pangenomics/working/HPRC/HG01361/assemblies/year1_f1_assembly_v2_genbank/HG01361.paternal.f1_assembly_v2_genbank.fa.gz,01c848260b6414e260a31eb637a7a0f251d123d578188286fc9dcb3026ddb14a,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SAMN17861235,"Colombian in Medellin, Colombia",CLM,True,CLM32,HG01359,HG01360,female,B-Lymphocyte,1000G,,,871724920
HG01891,2,s3://human-pangenomics/working/HPRC/HG01891/assemblies/year1_f1_assembly_v2_genbank/HG01891.maternal.f1_assembly_v2_genbank.fa.gz,9c439c0e28fa9b9e2a515ea75adaef8e156460851aa91f61dc065c29897f5ea2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SAMN17861236,African Caribbean in Barbados,ACB,True,BB05,HG01890,HG01889,female,B-Lymphocyte,1000G,,,873552118
HG01891,1,s3://human-pangenomics/working/HPRC/HG01891/assemblies/year1_f1_assembly_v2_genbank/HG01891.paternal.f1_assembly_v2_genbank.fa.gz,9d9aa8e29e2fd24fd890aa1308dc13fb54acd8bec91d6ae0ddeefd5b2ba333c0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SAMN17861236,African Caribbean in Barbados,ACB,True,BB05,HG01890,HG01889,female,B-Lymphocyte,1000G,,,877016090
HG01928,2,s3://human-pangenomics/working/HPRC/HG01928/assemblies/year1_f1_assembly_v2_genbank/HG01928.maternal.f1_assembly_v2_genbank.fa.gz,58fc6831a094299d6913b7d24b495790e70195badddec4a2ade405f63c24b4cf,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SAMN17861660,"Peruvian in Lima, Peru",PEL,True,PEL011,HG01926,HG01927,male,B-Lymphocyte,1000G,,,872630516
HG01928,1,s3://human-pangenomics/working/HPRC/HG01928/assemblies/year1_f1_assembly_v2_genbank/HG01928.paternal.f1_assembly_v2_genbank.fa.gz,f394a6900c6ba13bb2b9e91ac3d2dcc4863fa5d1fc5a6c0cf8241c6889a01afd,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SAMN17861660,"Peruvian in Lima, Peru",PEL,True,PEL011,HG01926,HG01927,male,B-Lymphocyte,1000G,,,838739069
HG01952,2,s3://human-pangenomics/working/HPRC/HG01952/assemblies/year1_f1_assembly_v2_genbank/HG01952.maternal.f1_assembly_v2_genbank.fa.gz,5b556ba7058119a135522443eac72f1a084772da2c42094b9f9ccde4e79589ce,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SAMN17861661,"Peruvian in Lima, Peru",PEL,True,PEL019,HG01950,HG01951,male,B-Lymphocyte,1000G,,,874042914
HG01952,1,s3://human-pangenomics/working/HPRC/HG01952/assemblies/year1_f1_assembly_v2_genbank/HG01952.paternal.f1_assembly_v2_genbank.fa.gz,c6f0b80ab52d7c58c00fb4d59b46bb18569c00b3bf887a192f13052d4fcb106b,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SAMN17861661,"Peruvian in Lima, Peru",PEL,True,PEL019,HG01950,HG01951,male,B-Lymphocyte,1000G,,,836702742
HG01978,2,s3://human-pangenomics/working/HPRC/HG01978/assemblies/year1_f1_assembly_v2_genbank/HG01978.maternal.f1_assembly_v2_genbank.fa.gz,94c18d5b4470a8c6baaa7f62b0683f19c0014b2153c4276ab44532d10a5ead7f,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SAMN17861662,"Peruvian in Lima, Peru",PEL,True,PEL26,HG01977,HG01976,female,B-Lymphocyte,1000G,,,876034563
HG01978,1,s3://human-pangenomics/working/HPRC/HG01978/assemblies/year1_f1_assembly_v2_genbank/HG01978.paternal.f1_assembly_v2_genbank.fa.gz,9f74231668c0295afc07ced515b987430c042ca5bb04be162c67fb09aa8e88ee,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SAMN17861662,"Peruvian in Lima, Peru",PEL,True,PEL26,HG01977,HG01976,female,B-Lymphocyte,1000G,,,878440726
HG02055,2,s3://human-pangenomics/working/HPRC_PLUS/HG02055/assemblies/year1_f1_assembly_v2_genbank/HG02055.maternal.f1_assembly_v2_genbank.fa.gz,769b69075228a32ce5933ffa03fcdb89ed16737688979369868b00dc8db920cf,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SAMN12162856,African Caribbean in Barbados,ACB,True,,HG02053,HG02054,male,B-Lymphocyte,1000G,,,873220732
HG02055,1,s3://human-pangenomics/working/HPRC_PLUS/HG02055/assemblies/year1_f1_assembly_v2_genbank/HG02055.paternal.f1_assembly_v2_genbank.fa.gz,82c22f2e036f932ee9250b4ede482e60862bbacf191c1621c83ac887c165715e,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SAMN12162856,African Caribbean in Barbados,ACB,True,,HG02053,HG02054,male,B-Lymphocyte,1000G,,,842793165
HG02080,2,s3://human-pangenomics/working/HPRC_PLUS/HG02080/assemblies/year1_f1_assembly_v2_genbank/HG02080.maternal.f1_assembly_v2_genbank.fa.gz,d48a5052a29556cca10b4d90c839bd22ec818882baa9a676a1d68814f15b3be0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SAMN13957942,"Kinh in Ho Chi Minh City, Vietnam",KHV,True,,HG02082,HG02081,female,B-Lymphocyte,1000G,,,874824117
HG02080,1,s3://human-pangenomics/working/HPRC_PLUS/HG02080/assemblies/year1_f1_assembly_v2_genbank/HG02080.paternal.f1_assembly_v2_genbank.fa.gz,d801ec8ddf2522f71e013a7d04de9822936535a0e3975c7c676cb52eff3c6189,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SAMN13957942,"Kinh in Ho Chi Minh City, Vietnam",KHV,True,,HG02082,HG02081,female,B-Lymphocyte,1000G,,,873821577
HG02109,2,s3://human-pangenomics/working/HPRC_PLUS/HG02109/assemblies/year1_f1_assembly_v2_genbank/HG02109.maternal.f1_assembly_v2_genbank.fa.gz,1367b63eb84facbc32063513bf9dd8211065ce925c03e739378be9a386649522,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SAMN13958415,African Caribbean in Barbados,ACB,True,,HG02107,HG02108,female,B-Lymphocyte,1000G,,,875110433
HG02109,1,s3://human-pangenomics/working/HPRC_PLUS/HG02109/assemblies/year1_f1_assembly_v2_genbank/HG02109.paternal.f1_assembly_v2_genbank.fa.gz,dae2a7f162d9fef43f0f45178473d702eeec5f6e279acc5dfacbb047a09d5ac6,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SAMN13958415,African Caribbean in Barbados,ACB,True,,HG02107,HG02108,female,B-Lymphocyte,1000G,,,876785497
HG02145,2,s3://human-pangenomics/working/HPRC_PLUS/HG02145/assemblies/year1_f1_assembly_v2_genbank/HG02145.maternal.f1_assembly_v2_genbank.fa.gz,bc9d3539c1cb2dbabdfb5df89710c53d2a7ce8246da8770b3b4efe88e4465560,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SAMN13961514,African Caribbean in Barbados,ACB,True,,HG02143,HG02144,male,B-Lymphocyte,1000G,,,874483617
HG02145,1,s3://human-pangenomics/working/HPRC_PLUS/HG02145/assemblies/year1_f1_assembly_v2_genbank/HG02145.paternal.f1_assembly_v2_genbank.fa.gz,a3c7fb913aada514cb3f65076266ce6c7972034f7ab21cf5e50af986dae6f1f5,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SAMN13961514,African Caribbean in Barbados,ACB,True,,HG02143,HG02144,male,B-Lymphocyte,1000G,,,841477631
HG02148,2,s3://human-pangenomics/working/HPRC/HG02148/assemblies/year1_f1_assembly_v2_genbank/HG02148.maternal.f1_assembly_v2_genbank.fa.gz,7cec12342242d476e1e31b5d456c8eea6ffce07b43a42262f047088d995d8534,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SAMN17861663,"Peruvian in Lima, Peru",PEL,True,PEL39,HG02146,HG02147,female,B-Lymphocyte,1000G,,,874250327
HG02148,1,s3://human-pangenomics/working/HPRC/HG02148/assemblies/year1_f1_assembly_v2_genbank/HG02148.paternal.f1_assembly_v2_genbank.fa.gz,931d6a40b3240f27f6fdcff40820446939e9e4b369ae294aaa18edcbd3822a1a,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SAMN17861663,"Peruvian in Lima, Peru",PEL,True,PEL39,HG02146,HG02147,female,B-Lymphocyte,1000G,,,873441230
HG02257,2,s3://human-pangenomics/working/HPRC/HG02257/assemblies/year1_f1_assembly_v2_genbank/HG02257.maternal.f1_assembly_v2_genbank.fa.gz,febe94c80a4f319f7db03d87b344e387933dfa66609bda0d59c23f85fe854ee2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SAMN17861237,African Caribbean in Barbados,ACB,True,BB21,HG02255,HG02256,female,B-Lymphocyte,1000G,,,874984941
HG02257,1,s3://human-pangenomics/working/HPRC/HG02257/assemblies/year1_f1_assembly_v2_genbank/HG02257.paternal.f1_assembly_v2_genbank.fa.gz,75a5efb57e8cb460d4c353807b0e377ea4cbf8ab0b6027822ff9ac9942580968,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SAMN17861237,African Caribbean in Barbados,ACB,True,BB21,HG02255,HG02256,female,B-Lymphocyte,1000G,,,875965168
HG02486,2,s3://human-pangenomics/working/HPRC/HG02486/assemblies/year1_f1_assembly_v2_genbank/HG02486.maternal.f1_assembly_v2_genbank.fa.gz,62e351be300c24daf8134d9d4a2fee302444dbfa45c3e052cc0f1364c8c04e6f,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SAMN17861238,African Caribbean in Barbados,ACB,True,BB55,HG02484,HG02485,male,B-Lymphocyte,1000G,,,874213377
HG02486,1,s3://human-pangenomics/working/HPRC/HG02486/assemblies/year1_f1_assembly_v2_genbank/HG02486.paternal.f1_assembly_v2_genbank.fa.gz,10116f1231a15778e8f4b06ae6fba96d377b075ca3157693b27b1c830c51d6e1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SAMN17861238,African Caribbean in Barbados,ACB,True,BB55,HG02484,HG02485,male,B-Lymphocyte,1000G,,,840161800
HG02559,2,s3://human-pangenomics/working/HPRC/HG02559/assemblies/year1_f1_assembly_v2_genbank/HG02559.maternal.f1_assembly_v2_genbank.fa.gz,65152219bd5add93081b21b26719a83a63a0eef8cfa75b3340a74fd81e636b6d,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SAMN17861239,African Caribbean in Barbados,ACB,True,BB68,HG02557,HG02558,female,B-Lymphocyte,1000G,,,877408288
HG02559,1,s3://human-pangenomics/working/HPRC/HG02559/assemblies/year1_f1_assembly_v2_genbank/HG02559.paternal.f1_assembly_v2_genbank.fa.gz,c6666f821d9ecda2b68079f45697b076f2f9f27f9adfbd0137fb9e1f761b6dd2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SAMN17861239,African Caribbean in Barbados,ACB,True,BB68,HG02557,HG02558,female,B-Lymphocyte,1000G,,,874171624
HG02572,2,s3://human-pangenomics/working/HPRC/HG02572/assemblies/year1_f1_assembly_v2_genbank/HG02572.maternal.f1_assembly_v2_genbank.fa.gz,c790e80eafdf11790b349a09c43106aa7671c019955519ac683baa037121812b,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SAMN17861240,Gambian in Western Division Đ Mandinka,GWD,True,GB21,HG02570,HG02571,male,B-Lymphocyte,1000G,,,879684666
